create_dt,location_y,compnt_nm,location_x,version
20140207,-32.03707,TSOMO,27.81802,1.1.0
20140207,-29.96252,UMLAZI,30.92848,1.1.0
20140207,-33.79741,IKAMVELIHLE,25.60843,1.1.0
20140207,-25.82101,MBUZINI,31.89291,1.1.0
20140207,-33.58986,OUDTSHOORN,22.20401,1.1.0
20140207,-33.6573,UNIONDALE,23.12582,1.1.0
20140207,-33.49487,LADISMITH,21.2683,1.1.0
20140207,-25.82608,TSHIDILAMOLOMO,24.67348,1.1.0
20140207,-26.96691,HUHUDI,24.74053,1.1.0
20140207,-26.81203,OTTOSDAL,25.99991,1.1.0
20140207,-31.01688,SULENKAMA,28.68437,1.1.0
20140207,-31.97848,COFFEE BAY,29.14881,1.1.0
20140207,-31.9192,KWAAIMAN,28.97806,1.1.0
20140207,-25.82374,WIERDABRUG,28.15524,1.1.0
